"Name","Agent","ID","State","User","Notes","Job Type","Group","Tags","Created","End Time","Updated","Max Test Accuracy","time_mask_param","dropOutProbability","freq_mask_param"
"noble-sweep-260","","vvs103sl","finished","","-","","","","2024-07-16T06:15:01.000Z","2024-07-16T06:21:54.000Z","2024-07-16T06:21:54.000Z","0.8607905497501136","10","0.1","50"
"rich-sweep-523","","t2fnfyjd","finished","","-","","","","2024-07-17T04:57:16.000Z","2024-07-17T05:03:27.000Z","2024-07-17T05:03:27.000Z","0.8607905497501136","50","0.3","40"
"classic-sweep-274","","v1waegfs","finished","","-","","","","2024-07-16T07:35:43.000Z","2024-07-16T07:39:17.000Z","2024-07-16T07:39:17.000Z","0.8591549295774648","10","0.1","50"
"effortless-sweep-183","","35maonhy","finished","","-","","","","2024-07-15T23:03:34.000Z","2024-07-15T23:14:41.000Z","2024-07-15T23:14:41.000Z","0.8585188550658791","10","0.1","20"
"usual-sweep-61","","4hh5kczd","finished","","-","","","","2024-07-15T11:22:20.000Z","2024-07-15T11:29:58.000Z","2024-07-15T11:29:58.000Z","0.8581553839164017","50","0","30"
"colorful-sweep-218","","z7ncs272","finished","","-","","","","2024-07-16T02:48:07.000Z","2024-07-16T02:50:46.000Z","2024-07-16T02:50:46.000Z","0.8580645161290322","10","0.1","30"
"devoted-sweep-253","","drjbg0np","finished","","-","","","","2024-07-16T05:26:13.000Z","2024-07-16T05:42:22.000Z","2024-07-16T05:42:22.000Z","0.8580645161290322","10","0.1","50"
"flowing-sweep-94","","8hn9ye56","finished","","-","","","","2024-07-15T14:37:49.000Z","2024-07-15T14:47:12.000Z","2024-07-15T14:47:12.000Z","0.8579736483416629","30","0","40"
"wobbly-sweep-30","","7m0tm9in","finished","","-","","","","2024-07-15T08:11:35.000Z","2024-07-15T08:16:44.000Z","2024-07-15T08:16:44.000Z","0.8578827805542935","20","0","20"
"autumn-sweep-74","","z27mjs47","finished","","-","","","","2024-07-15T12:58:01.000Z","2024-07-15T13:01:29.000Z","2024-07-15T13:01:29.000Z","0.8577919127669241","40","0","30"
"fiery-sweep-36","","q78ta0ic","finished","","-","","","","2024-07-15T08:38:29.000Z","2024-07-15T08:44:30.000Z","2024-07-15T08:44:30.000Z","0.8576101771921854","10","0","20"
"glamorous-sweep-154","","5pn5kcck","finished","","-","","","","2024-07-15T20:18:53.000Z","2024-07-15T20:23:23.000Z","2024-07-15T20:23:23.000Z","0.8571558382553385","70","0.1","10"
"efficient-sweep-71","","b5jnbx2a","finished","","-","","","","2024-07-15T12:39:57.000Z","2024-07-15T12:48:27.000Z","2024-07-15T12:48:27.000Z","0.8571558382553385","10","0","30"
"sleek-sweep-203","","bah4lgwo","finished","","-","","","","2024-07-16T01:22:51.000Z","2024-07-16T01:32:20.000Z","2024-07-16T01:32:20.000Z","0.8568832348932304","70","0.1","30"
"sweet-sweep-456","","oztgym7t","finished","","-","","","","2024-07-16T23:31:20.000Z","2024-07-16T23:38:15.000Z","2024-07-16T23:38:15.000Z","0.8568832348932304","10","0.3","20"
"decent-sweep-409","","aw6qm4cw","finished","","-","","","","2024-07-16T18:46:10.000Z","2024-07-16T18:51:24.000Z","2024-07-16T18:51:24.000Z","0.8565197637437528","30","0.2","50"
"hopeful-sweep-361","","6lj53rk5","finished","","-","","","","2024-07-16T14:50:10.000Z","2024-07-16T14:56:15.000Z","2024-07-16T14:56:15.000Z","0.8562471603816447","40","0.2","30"
"eternal-sweep-242","","oyci1t5p","finished","","-","","","","2024-07-16T04:33:09.000Z","2024-07-16T04:38:21.000Z","2024-07-16T04:38:21.000Z","0.8558836892321672","40","0.1","40"
